hr,rr,spo2,temp,time
91,17,96,36.5,2021/03/05 19:00:32
67,16,94,37.8,2021/03/05 19:00:35
72,21,88,37.3,2021/03/05 19:00:38
69,18,89,36.5,2021/03/05 19:00:41
76,20,98,36,2021/03/05 19:00:44
81,20,92,36.8,2021/03/05 19:00:47
92,16,99,36.4,2021/03/05 19:00:50
67,18,91,36.4,2021/03/05 19:00:53
107,15,97,37.4,2021/03/05 19:00:56
83,21,90,36.7,2021/03/05 19:00:59
87,18,97,37.7,2021/03/05 19:01:02
87,15,92,37.2,2021/03/05 19:01:05
99,22,94,37.7,2021/03/05 19:01:08
67,22,93,37,2021/03/05 19:01:11
70,15,92,37.7,2021/03/05 19:01:14
88,15,97,37.7,2021/03/05 19:01:17
76,21,93,36.4,2021/03/05 19:01:20
78,13,89,37.2,2021/03/05 19:01:23
66,13,97,37.8,2021/03/05 19:01:26
80,19,96,36.1,2021/03/05 19:01:29
92,16,96,37.6,2021/03/05 19:01:32
81,19,93,36.4,2021/03/05 19:01:35
109,21,94,37.5,2021/03/05 19:01:38
95,16,89,36,2021/03/05 19:01:41
94,18,96,37.6,2021/03/05 19:01:44
75,19,94,36.6,2021/03/05 19:01:47
80,14,94,38,2021/03/05 19:01:50
82,21,89,37.1,2021/03/05 19:01:53
79,16,91,37.6,2021/03/05 19:01:56
101,15,99,36.5,2021/03/05 19:01:59
78,17,93,36.3,2021/03/05 19:02:02
99,15,93,36.4,2021/03/05 19:02:05
74,23,88,36.2,2021/03/05 19:02:08
67,17,93,36.7,2021/03/05 19:02:11
67,20,97,37.9,2021/03/05 19:02:14
111,19,98,37,2021/03/05 19:02:17
66,22,96,37,2021/03/05 19:02:20
89,17,92,36.4,2021/03/05 19:02:23
76,19,94,36.6,2021/03/05 19:02:26
84,22,89,36.5,2021/03/05 19:02:29
68,22,95,36.9,2021/03/05 19:02:32
115,23,98,36.5,2021/03/05 19:02:35
78,19,92,37.2,2021/03/05 19:02:38
106,17,91,37.3,2021/03/05 19:02:41
99,14,95,37.5,2021/03/05 19:02:44
94,19,90,36.4,2021/03/05 19:02:47
72,17,97,36.7,2021/03/05 19:02:50
114,15,89,36.7,2021/03/05 19:02:53
73,17,98,36.3,2021/03/05 19:02:56
90,21,91,37.5,2021/03/05 19:02:59
98,20,93,37.9,2021/03/05 19:03:02
61,21,95,36.2,2021/03/05 19:03:05
104,20,95,37,2021/03/05 19:03:08
70,17,97,36.9,2021/03/05 19:03:11
82,20,97,36.4,2021/03/05 19:03:14
75,18,94,37,2021/03/05 19:03:17
78,14,98,37.4,2021/03/05 19:03:20
90,18,93,37.6,2021/03/05 19:03:23
99,22,91,37.8,2021/03/05 19:03:26
105,15,98,37.4,2021/03/05 19:03:29
106,17,91,36.9,2021/03/05 19:03:32
103,22,93,36.9,2021/03/05 19:03:35
86,23,97,36.7,2021/03/05 19:03:38
75,19,93,36.7,2021/03/05 19:03:41
90,17,88,37.3,2021/03/05 19:03:44
69,21,92,37.2,2021/03/05 19:03:47
80,19,97,36.7,2021/03/05 19:03:50
103,18,91,37.8,2021/03/05 19:03:53
96,17,99,36.1,2021/03/05 19:03:56
105,16,95,36.3,2021/03/05 19:03:59
89,16,98,36.4,2021/03/05 19:04:02
64,22,97,37.4,2021/03/05 19:04:05
99,18,89,36.5,2021/03/05 19:04:08
89,16,90,36.8,2021/03/05 19:04:11
69,15,96,37,2021/03/05 19:04:14
77,19,93,37.1,2021/03/05 19:04:17
99,21,97,37.7,2021/03/05 19:04:20
88,18,92,36.4,2021/03/05 19:04:23
74,21,96,37.7,2021/03/05 19:04:26
76,19,93,37.4,2021/03/05 19:04:29
113,21,93,37.9,2021/03/05 19:04:32
97,18,96,36.9,2021/03/05 19:04:35
107,17,89,37.7,2021/03/05 19:04:38
74,22,97,37.9,2021/03/05 19:04:41
100,22,90,37.4,2021/03/05 19:04:44
94,21,91,37.2,2021/03/05 19:04:47
75,19,91,36.5,2021/03/05 19:04:50
95,18,96,37.1,2021/03/05 19:04:53
73,16,92,36.9,2021/03/05 19:04:56
77,22,90,37.6,2021/03/05 19:04:59
110,22,91,37.6,2021/03/05 19:05:02
94,20,94,37.9,2021/03/05 19:05:05
106,17,90,37.2,2021/03/05 19:05:08
84,23,99,36.5,2021/03/05 19:05:11
103,23,92,36.2,2021/03/05 19:05:14
80,16,95,36.5,2021/03/05 19:05:17
62,19,98,37.4,2021/03/05 19:05:20
72,22,92,36.9,2021/03/05 19:05:23
102,17,94,37.5,2021/03/05 19:05:26
102,19,98,37.2,2021/03/05 19:05:29
92,20,94,37.6,2021/03/05 19:05:32
94,20,90,36.8,2021/03/05 19:05:35
68,16,95,37.8,2021/03/05 19:05:38
103,23,96,37.8,2021/03/05 19:05:41
104,17,91,37.3,2021/03/05 19:05:44
95,14,96,36.2,2021/03/05 19:05:47
82,23,93,37.3,2021/03/05 19:05:50
76,24,94,37.4,2021/03/05 19:05:53
71,17,89,37.7,2021/03/05 19:05:56
79,23,97,36.5,2021/03/05 19:05:59
99,18,97,36.4,2021/03/05 19:06:02
110,21,91,36.7,2021/03/05 19:06:05
104,20,93,36.9,2021/03/05 19:06:08
104,21,94,37,2021/03/05 19:06:11
75,21,99,37.4,2021/03/05 19:06:14
84,15,92,37.1,2021/03/05 19:06:17
62,14,90,37.2,2021/03/05 19:06:20
96,20,93,36.8,2021/03/05 19:06:23
101,15,95,36.3,2021/03/05 19:06:26
107,23,98,37.9,2021/03/05 19:06:29
102,18,94,37.5,2021/03/05 19:06:32
72,16,88,37.3,2021/03/05 19:06:35
85,16,95,38,2021/03/05 19:06:38
65,17,92,36.7,2021/03/05 19:06:41
95,19,97,37.7,2021/03/05 19:06:44
107,16,97,36.4,2021/03/05 19:06:47
99,17,91,37.7,2021/03/05 19:06:50
111,18,99,37.1,2021/03/05 19:06:53
75,19,88,37.3,2021/03/05 19:06:56
108,22,90,37.7,2021/03/05 19:06:59
75,20,96,36.6,2021/03/05 19:07:02
63,19,93,36.4,2021/03/05 19:07:05
72,23,93,37.2,2021/03/05 19:07:08
102,22,92,36.6,2021/03/05 19:07:11
87,17,99,36.7,2021/03/05 19:07:14
101,15,97,36.9,2021/03/05 19:07:17
61,16,96,37.7,2021/03/05 19:07:20
97,18,96,37.3,2021/03/05 19:07:23
92,19,88,37.3,2021/03/05 19:07:26
76,19,96,36.5,2021/03/05 19:07:29
74,16,88,36.8,2021/03/05 19:07:32
94,18,97,36.5,2021/03/05 19:07:35
78,20,97,36.8,2021/03/05 19:07:38
86,21,95,36.6,2021/03/05 19:07:41
92,17,91,36.7,2021/03/05 19:07:44
95,17,97,37.9,2021/03/05 19:07:47
106,21,97,37.3,2021/03/05 19:07:50
95,20,93,37.5,2021/03/05 19:07:53
84,19,91,36.1,2021/03/05 19:07:56
83,23,97,37.5,2021/03/05 19:07:59
101,22,98,37.8,2021/03/05 19:08:02
76,20,89,37.5,2021/03/05 19:08:05
88,18,96,37.2,2021/03/05 19:08:08
91,16,90,37.1,2021/03/05 19:08:11
78,21,89,37.7,2021/03/05 19:08:14
70,21,93,37.1,2021/03/05 19:08:17
67,21,92,36.7,2021/03/05 19:08:20
94,14,94,37.6,2021/03/05 19:08:23
78,21,96,36.7,2021/03/05 19:08:26
91,13,91,36.7,2021/03/05 19:08:29
76,16,94,36.9,2021/03/05 19:08:32
107,23,97,36,2021/03/05 19:08:35
66,19,93,36.8,2021/03/05 19:08:38
74,22,88,37.3,2021/03/05 19:08:41
97,19,91,36.8,2021/03/05 19:08:44
79,18,91,36.9,2021/03/05 19:08:47
74,15,99,37.6,2021/03/05 19:08:50
63,23,96,37.1,2021/03/05 19:08:53
90,21,91,36.5,2021/03/05 19:08:56
110,15,91,36.7,2021/03/05 19:08:59
80,14,93,36.5,2021/03/05 19:09:02
90,19,95,36.9,2021/03/05 19:09:05
99,22,92,37.2,2021/03/05 19:09:08
108,20,97,37.6,2021/03/05 19:09:11
93,18,96,38,2021/03/05 19:09:14
84,20,91,36.6,2021/03/05 19:09:17
74,16,93,37,2021/03/05 19:09:20
93,16,98,37.9,2021/03/05 19:09:23
70,22,94,36.7,2021/03/05 19:09:26
68,19,98,36.8,2021/03/05 19:09:29
84,20,96,38,2021/03/05 19:09:32
89,20,92,38,2021/03/05 19:09:35
66,16,90,37.9,2021/03/05 19:09:38
90,20,96,36.7,2021/03/05 19:09:41
90,16,90,37.1,2021/03/05 19:09:44
70,17,94,37,2021/03/05 19:09:47
85,20,96,37.1,2021/03/05 19:09:50
68,22,97,36.9,2021/03/05 19:09:53
98,15,90,36,2021/03/05 19:09:56
105,21,96,36.1,2021/03/05 19:09:59
79,22,98,37.3,2021/03/05 19:10:02
105,20,98,37.3,2021/03/05 19:10:05
84,20,92,37.2,2021/03/05 19:10:08
95,18,96,36.5,2021/03/05 19:10:11
91,17,91,37.3,2021/03/05 19:10:14
80,22,92,36.7,2021/03/05 19:10:17
108,19,92,37.4,2021/03/05 19:10:20
89,21,95,37.9,2021/03/05 19:10:23
78,16,90,36.6,2021/03/05 19:10:26
64,15,92,36.4,2021/03/05 19:10:29
73,15,96,37.4,2021/03/05 19:10:32
71,19,94,37.9,2021/03/05 19:10:35
65,23,92,37.6,2021/03/05 19:10:38
70,21,97,36.7,2021/03/05 19:10:41
72,15,97,37.4,2021/03/05 19:10:44
97,17,92,37.1,2021/03/05 19:10:47
76,22,95,36.4,2021/03/05 19:10:50
75,17,90,36.7,2021/03/05 19:10:53
109,21,92,37.7,2021/03/05 19:10:56
80,18,96,37.2,2021/03/05 19:10:59
63,15,89,36.9,2021/03/05 19:11:02
60,18,96,36.1,2021/03/05 19:11:05
102,20,91,37.7,2021/03/05 19:11:08
107,16,93,37.6,2021/03/05 19:11:11
67,15,99,37.4,2021/03/05 19:11:14
103,21,92,37.4,2021/03/05 19:11:17
78,15,98,37.7,2021/03/05 19:11:20
90,22,97,36.8,2021/03/05 19:11:23
84,16,94,36.8,2021/03/05 19:11:26
90,22,88,36.5,2021/03/05 19:11:29
75,22,89,36.8,2021/03/05 19:11:32
99,15,90,37,2021/03/05 19:11:35
105,15,99,37.7,2021/03/05 19:11:38
71,21,90,37.7,2021/03/05 19:11:41
69,18,88,36.6,2021/03/05 19:11:44
72,18,92,37.7,2021/03/05 19:11:47
111,14,99,36,2021/03/05 19:11:50
92,24,99,36.3,2021/03/05 19:11:53
80,21,89,37.1,2021/03/05 19:11:56
109,24,97,37.4,2021/03/05 19:11:59
74,17,98,37.5,2021/03/05 19:12:02
105,21,91,37.4,2021/03/05 19:12:05
105,20,92,37.8,2021/03/05 19:12:08
107,15,99,36.6,2021/03/05 19:12:11
101,17,96,37.1,2021/03/05 19:12:14
103,17,92,37.2,2021/03/05 19:12:17
98,17,96,37.2,2021/03/05 19:12:20
87,23,93,36.8,2021/03/05 19:12:23
83,15,91,37.5,2021/03/05 19:12:26
76,17,91,36.4,2021/03/05 19:12:29
101,15,90,36.5,2021/03/05 19:12:32
103,22,95,36.5,2021/03/05 19:12:35
71,21,97,37.9,2021/03/05 19:12:38
88,22,92,37.1,2021/03/05 19:12:41
64,19,90,36.8,2021/03/05 19:12:44
71,16,93,36.9,2021/03/05 19:12:47
69,21,92,36.8,2021/03/05 19:12:50
65,17,93,36.9,2021/03/05 19:12:53
93,16,97,37.5,2021/03/05 19:12:56
77,18,95,37.2,2021/03/05 19:12:59
99,21,92,36.4,2021/03/05 19:13:02
100,20,97,37.4,2021/03/05 19:13:05
61,14,96,36.4,2021/03/05 19:13:08
79,22,93,36.5,2021/03/05 19:13:11
66,23,96,37.2,2021/03/05 19:13:14
101,19,96,36.2,2021/03/05 19:13:17
76,14,96,37,2021/03/05 19:13:20
71,18,93,36.7,2021/03/05 19:13:23
99,15,92,37.6,2021/03/05 19:13:26
92,15,95,37.4,2021/03/05 19:13:29
77,21,92,36,2021/03/05 19:13:32
84,24,96,37.2,2021/03/05 19:13:35
85,16,90,36.4,2021/03/05 19:13:38
73,16,95,36.1,2021/03/05 19:13:41
80,19,92,36.9,2021/03/05 19:13:44
93,16,96,36.2,2021/03/05 19:13:47
84,22,90,36.1,2021/03/05 19:13:50
83,23,89,37.7,2021/03/05 19:13:53
80,16,94,36.1,2021/03/05 19:13:56
92,18,90,36.5,2021/03/05 19:13:59
68,22,91,36.4,2021/03/05 19:14:02
104,20,96,37.6,2021/03/05 19:14:05
72,21,97,37.6,2021/03/05 19:14:08
110,24,90,36.5,2021/03/05 19:14:11
107,19,88,37.1,2021/03/05 19:14:14
66,24,93,37.2,2021/03/05 19:14:17
85,17,94,36.2,2021/03/05 19:14:20
96,24,92,36.4,2021/03/05 19:14:23
69,15,90,36.1,2021/03/05 19:14:26
82,13,93,36.7,2021/03/05 19:14:29
91,20,88,37.7,2021/03/05 19:14:32
100,19,98,37.3,2021/03/05 19:14:35
73,15,92,36.6,2021/03/05 19:14:38
